1 12 -0.464286 
1 13 -0.401578 
1 14 -0.414741 
1 15 -0.422656 
1 16 -0.770551 
1 17 -0.658093 
1 18 -0.416422 
1 19 -0.322213 
1 20 0.090666 
1 21 0.617975 

2 12 0.078125 
2 13 -0.234981 
2 14 -0.225659 
2 15 0.00415167 
2 16 -0.0134742 
2 17 0.0340543 
2 18 0.193636 
2 19 0.39642 
2 20 0.643854 
2 21 0.87971 

3 12 -0.198485 
3 13 -0.209716 
3 14 0.0282875 
3 15 0.0485699 
3 16 0.00342382 
3 17 -0.0759084 
3 18 0.196835 
3 19 0.429741 
3 20 0.64177 
3 21 0.886045 

4 12 -0.190939 
4 13 0.090776 
4 14 0.098615 
4 15 -0.142949 
4 16 0.0741179 
4 17 -0.0043628 
4 18 0.239974 
4 19 0.449749 
4 20 0.66175 
4 21 0.884771 

5 12 -0.141243 
5 13 -0.0577854 
5 14 0.15794 
5 15 0.144084 
5 16 0.115636 
5 17 0.168196 
5 18 0.247569 
5 19 0.488915 
5 20 0.701289 
5 21 0.892275 

6 12 -0.0687398 
6 13 0.140508 
6 14 0.133786 
6 15 -0.0636646 
6 16 0.148548 
6 17 0.160584 
6 18 0.275276 
6 19 0.501942 
6 20 0.686445 
6 21 0.900578 

7 12 0.106013 
7 13 0.0901276 
7 14 -0.489677 
7 15 -0.00816327 
7 16 -0.468551 
7 17 -0.077063 
7 18 0.478762 
7 19 0.639917 
7 20 0.781289 
7 21 0.929271 

8 12 0.0318907 
8 13 0.0438647 
8 14 0.0734937 
8 15 -0.0857909 
8 16 -0.0997567 
8 17 -0.394473 
8 18 0.144314 
8 19 0.655698 
8 20 0.7956 
8 21 0.93324 

9 12 -0.485452 
9 13 -0.0863949 
9 14 -0.118776 
9 15 -0.116595 
9 16 -0.208243 
9 17 -0.182905 
9 18 -0.18538 
9 19 0.290687 
9 20 0.780488 
9 21 0.937821 

10 12 -0.061402 
10 13 -0.559644 
10 14 -0.139573 
10 15 -0.16285 
10 16 -0.248273 
10 17 -0.231373 
10 18 -0.253441 
10 19 -0.0317038 
10 20 0.454549 
10 21 0.906008 

