1 12 1                    
1 13 1                       
1 14 1                       
1 15 1               
1 16 1                    
1 17 1                    
1 18 1                       
1 19 0                       
1 20 0 
1 21 0 

2 12 1                      
2 13 1                        
2 14 1         
2 15 1                                 
2 16 0         
2 17 1               
2 18 0                                                                                         
2 19 0         
2 20 0 
2 21 0 

3 12 0                                                                                         
3 13 1                                                                                         
3 14 1          
3 15 1                                                                                         
3 16 1                                   
3 17 0                                                                                         
3 18 0          
3 19 0                    
3 20 0 
3 21 0 

4 12 1                                   
4 13 1                                 
4 14 0                                   
4 15 1                                   
4 16 0                                   
4 17 0 
4 18 0 
4 19 0 

5 12 1 
5 13 1 
5 14 1 
5 15 1 
5 16 1 
5 17 0 
5 18 0 
5 19 0 
5 20 0 
5 21 0 

6 12 1 
6 13 1 
6 14 0 
6 15 1                                                                                                                                                                                        
6 16 0 
6 17 1 
6 18 1 
6 19 0 
6 20 0 
6 21 0 

7 12 0 
7 13 1 
7 14 1 
7 15 1 
7 16 0 
7 17 0 
7 18 0 
7 19 0 
7 20 0 
7 21 0 

8 12 0 
8 13 1 
8 14 1 
8 15 1 
8 16 1 
8 17 1 
8 18 0 
8 19 0 
8 20 0 
8 21 0 

9 12 1 
9 13 1 
9 14 1 
9 15 0 
9 16 0 
9 17 0 
9 18 0 
9 19 0 
9 20 0 
9 21 0 

10 12 1 
10 13 0 
10 14 1 
10 15 1 
10 16 1 
10 17 0 
10 18 0 
10 19 0 
10 20 0 
10 21 0 


