1 12 0 
1 13 1 
1 14 1 
1 15 1 
1 16 0.5 
1 17 0.25 
1 18 0 
1 19 0.333333 
1 20 0.0952381 
1 21 0.651163 

2 12 0 
2 13 0 
2 14 0 
2 15 1 
2 16 0 
2 17 0 
2 18 0 
2 19 0.75 
2 20 0.5 
2 21 0.813953 

3 12 1 
3 13 1 
3 14 0 
3 15 1 
3 16 1 
3 17 0.75 
3 18 1 
3 19 1 
3 20 0.5 
3 21 0.869565 

4 12 0.333333 
4 13 1 
4 14 1 
4 15 0 
4 16 1 
4 17 1 
4 18 0.666667 
4 19 0 
4 20 0.647059 
4 21 0.970588 

5 12 0 
5 13 1 
5 14 0.333333 
5 15 0.25 
5 16 1 
5 17 1 
5 18 0 
5 19 1 
5 20 0.45 
5 21 0.939394 

6 12 -1 
6 13 1 
6 14 -0.5 
6 15 0.75 
6 16 1 
6 17 0.6 
6 18 1 
6 19 1 
6 20 0.6 
6 21 0.878049 

7 12 1 
7 13 1 
7 14 1 
7 15 0.5 
7 16 1 
7 17 1 
7 18 1 
7 19 0.75 
7 20 0.8 
7 21 0.938776 

8 12 0 
8 13 1 
8 14 1 
8 15 1 
8 16 1 
8 17 1 
8 18 1 
8 19 1 
8 20 1 
8 21 0.924528 

9 12 1 
9 13 0 
9 14 0.5 
9 15 0 
9 16 1 
9 17 1 
9 18 0.5 
9 19 0 
9 20 0.769231 
9 21 1 

10 12 0.5 
10 13 0.75 
10 14 0.636364 
10 15 0.555556 
10 16 0.692308 
10 17 0.285714 
10 18 0.555556 
10 19 0.714286 
10 20 0.493671 
10 21 0.870466 

